page_name,old,new,reason,changed,is_nav_only,content_head_first_200
Golden-Knotted_Ancestral_Bow,item,item,,FALSE,FALSE,"Golden-Knotted Ancestral Bow [...] x45 Fang x36 Flawless Timber x20 Abyss Artifact x1 27,552 +10 Attack: 33 Aeserion's Scale x1 Abyss Artifact x1 30,403 ###  Crimson Desert Golden-Knotted Ancestral "
Large_Farming_Rake_Scythe,item,item,,FALSE,FALSE,"Large Farming Rake Scythe [...] x20  Fang x36  Scolecite Ore x6  Abyss Artifact x1 20,119 +10 Attack: 31 Aeserion's Scale x1  Abyss Artifact x1 22,970 ###  Crimson Desert Large Farming Rake Scythe T"
Rising_Torrent,item,item,,FALSE,FALSE,"Rising Torrent [...] Effect When socketed, Rising Torrent provides the following stats or skill: - Rising Torrent (Dodge after being hit) ###  Crimson Desert Rising Torrent Abyss Core Notes, Tips "
Subcontent:Accessories_2_Accessories_Table,item,uncertain,nav-only page with minimal substantive content about accessories,TRUE,TRUE,Subcontent:Accessories 2 Accessories Table metal ring that looks ready to snap at any moment. Its heavily weathered surface hints at the hardships and long years its owner has endured. Retrieved fro
Agstree_Leather_Boots,item,item,,FALSE,FALSE,"Agstree Leather Boots [...] and can no longer serve its function. Though it cannot be equipped, it can be sold at a shop or donated to the camp. ###  Crimson Desert Agstree Leather Boots Notes, Tips"
Frostward I,item,item,,FALSE,FALSE,Frostward I ### Frostward I        Abyss Core         Ice Resistance Lv 1                 Sells for 1.44                   Grants a variety of effects when embedded in an equipment socket. Witches f
Spear_of_the_Fleeting,item,item,,FALSE,FALSE,"Spear of the Fleeting [...] Ore x9 Abyss Artifact x1 29,797 +10 Attack 35 Attack Speed Lv.3 Aeserion's Scale x1 Abyss Artifact x1 32,648 ###  Crimson Desert Spear of the Fleeting Notes, Tips & Triv"
Vendors,item,mechanic,,TRUE,FALSE,"Vendors [...] with unique names and are instead listed simply as Street Vendors, scattered across different areas and regions. ### Selling Items to Vendors in Crimson Desert    As mentioned earlier"
Disarm I,item,item,,FALSE,FALSE,"Disarm I [...] Effect   When socketed, Disarm I provides the following stats or skill:      - 1% chance to disarm enemies on hit ### Crimson Desert Disarm I Abyss Core Notes, Tips & Trivia      -"
Notepad,item,uncertain,nav-only page listing tools without substantive content,TRUE,TRUE,"Notepad [...] combat, and everyday survival, including things like pickaxes, shovels, axes, grappling hooks, and other useful gear. ###  Crimson Desert Notepad Tools Notes, Tips & Trivia - Notes, T"
Solas Plate Armor,item,item,,FALSE,FALSE,Solas Plate Armor How to Obtain / Where to Find: ### Where to Find Solas Plate Armor in Crimson Desert   Solas Plate Armor can be found in the following locations:      - Final rewards for completin
Medium Varnian Banner Pike,item,item,,FALSE,FALSE,Medium Varnian Banner Pike ### Medium Varnian Banner Pike        Two-Handed Weapon           Attack   24                 A medium banner pike bearing the Varnia's symbol. It looks like it could be u
Composure II,item,item,,FALSE,FALSE,"Composure II [...] Abyss Core Effect   When socketed, Composure II provides the following stats or skill:      - Spirit: +0.2 every sec ### Crimson Desert Composure II Abyss Core Notes, Tips & Tri"
Unyielding Warrior's Plate Boots,item,item,,FALSE,FALSE,Unyielding Warrior's Plate Boots How to Obtain / Where to Find: ### Where to Find Unyielding Warrior's Plate Boots in Crimson Desert   Unyielding Warrior's Plate Boots can be dropped by the following
Bethel_Leather_Boots,item,item,,FALSE,FALSE,"Bethel Leather Boots [...] and can no longer serve its function. Though it cannot be equipped, it can be sold at a shop or donated to the camp. ###  Crimson Desert Bethel Leather Boots Notes, Tips &"
Spear_of_Righteousness,item,item,,FALSE,FALSE,"Spear of Righteousness [...] Ore x9 Abyss Artifact x1 29,797 +10 Attack 35 Attack Speed Lv.3 Aeserion's Scale x1 Abyss Artifact x1 32,648 ###  Crimson Desert Spear of Righteousness Notes, Tips & Tr"
Subcontent:Abyss_Core_1_Abyss_Core_Gallery,item,uncertain,nav-only,TRUE,TRUE,Subcontent:Abyss Core 1 Abyss Core Gallery Body Armor - Cloaks - Footwear - Accessories - Abyss Gear - Items- Collectibles - Crafting Manuals - Key Items - Recovery Items - Horse Items - Gatherable
Grilled_Fruit_(Recipe),item,uncertain,excerpt is nav-only list without recipe details,TRUE,TRUE,"Grilled Fruit (Recipe) (Recipe) Braised Ribs (Recipe) Bright Red Dye (Recipe) Bullet (Recipe) Chewy Rice Cakes (Recipe) Clear Soup (Recipe) Cloth Armor of the World, Vol. I (Recipe) Dark Red Dye (Rec"
Rhinoceros_Beetle,item,item,,FALSE,FALSE,"Rhinoceros Beetle [...] Information - Gatherable type: Alchemy Material | Alchemy Material - Effect: Defense: +6.0 (1 min) Spirit: +1.0 ###  Crimson Desert Rhinoceros Beetle Notes, Tips & Trivia "
Nagmore_Leather_Boots,item,item,,FALSE,FALSE,"Nagmore Leather Boots [...] provides stable protection for the leg, while the folded leather cover on the upper part adds both utility and style. ###  Crimson Desert Nagmore Leather Boots Notes, Tip"
Hernandian Guard Captain's Cloth Cloak,item,item,,FALSE,FALSE,Hernandian Guard Captain's Cloth Cloak Hernandian Guard Captain's Cloth Cloak           Cloak        None      Armor that is completely broken and can no longer serve its function. Though it cannot b
Shadowleaf Bow,item,item,,FALSE,FALSE,"Shadowleaf Bow Stats  Materials  Price  +0  Attack: 11   864  +1  Attack: 13  Timber x10  964  +2  Attack: 15  Timber x15  1,114  +3  Attack: 17  Timber x20 Fine Timber x10  1,564  +4  Attack: 19  Ti"
Sanguine Knell,item,item,,FALSE,FALSE,"Sanguine Knell Stats  Materials  Price  +0  Attack 15       Critical Rate Lv.2       2,331  +1  Attack 17       Critical Rate Lv.2  Iron Ore x3  2,385  +2  Attack 19       Critical Rate Lv.2  Iron Or"
Leather_Helm_of_the_Fallen_Kingdom,item,item,,FALSE,FALSE,Leather Helm of the Fallen Kingdom [...] following locations: - Can be found in a hidden chamber at the Sanctum of Benediction. [[[Interactive Map|Map Link]]] ###  Crimson Desert Leather Helm of th
Metal Ware,item,item,,FALSE,FALSE,"Metal Ware ### Metal Ware        Metal Containers                                   A metal container meticulously crafted by an artisan. Ideal for savoring drinks, the cup is primarily used at banq"
Fine Stone,item,item,,FALSE,FALSE,"Fine Stone ### Fine Stone                              Stone with high density and few cracks. Its surface is smooth, and its texture is uniform, allowing for precise processing. It's used in decora"
Golden_Green_Plate_Cloak,item,item,,FALSE,FALSE,"Golden Green Plate Cloak [...] found in the following locations: - Can be found in Venom Blade Grotto, located behind a waterfall at the Red River. ###  Crimson Desert Golden Green Plate Cloak Note"
Plate_Boots_of_the_Fallen_Kingdom,item,item,,FALSE,FALSE,Plate Boots of the Fallen Kingdom [...] of the Fallen Kingdom can be found in the following Locations: - Can be found behind the waterfall in Nightstorm Cave. ###  Crimson Desert Plate Boots of the
Weapons,item,mechanic,,TRUE,FALSE,Weapons ### Weapon Slots & Equipment System in Crimson Desert    The game features a multi-slot equipment system divided into two main sections:    Primary Weapon Slots (Top Section):      - One s
St Halsius's Priest's Hat,item,item,,FALSE,FALSE,St Halsius's Priest's Hat St Halsius's Priest's Hat           Headgear        Defense   3         Movement Speed   Lv.1         St. Halssius Disguise         None           A hat worn by a priest of 
Jester_Leather_Cloak,item,item,,FALSE,FALSE,"Jester Leather Cloak [...] Cloak Information - Armor Type: Cloaks - Note that prices may vary based on your reputation with certain Factions. ###  Crimson Desert Jester Leather Cloak Notes, Tips &"
Leather_Armor_of_the_Fallen_Kingdom,item,item,,FALSE,FALSE,"Leather Armor of the Fallen Kingdom [...] locations: - Can be found in Frozen Soul Cave behind a waterfall, south of the ""ER"" section on the Hernand map. ###  Crimson Desert Leather Armor of the Fa"
Goyen's_Plate_Boots,item,item,,FALSE,FALSE,"Goyen's Plate Boots [...] and can no longer serve its function. Though it cannot be equipped, it can be sold at a shop or donated to the camp. ###  Crimson Desert Goyen's Plate Boots Notes, Tips & T"
Shrubby Sophora,item,item,,FALSE,FALSE,"Shrubby Sophora ### Shrubby Sophora                              Provides an intensely bitter, twisted root prized as a medicinal herb. Widely used to treat indigestion and neuralgia, this potent pl"
Steelbane_I,item,item,,FALSE,FALSE,"Steelbane I [...] Core in Crimson Desert Steelbane I can be socketed into the following Equipment: - Weapons - Gloves - Footwear ###  Crimson Desert Steelbane I Abyss Core Notes, Tips & Trivia "
Propeller_Spear,item,item,,FALSE,FALSE,"Propeller Spear [...] Stats Materials Price +0 Attack 27 Attack Speed Lv.1 Scolecite Ore x5 Iron Ore x10 Mercury x1 Epidote x2 1,300 ###  Crimson Desert Propeller Spear Notes, Tips & Trivia - Note"
Blackwing_Mask,item,item,,FALSE,FALSE,"Blackwing Mask [...] be found in the following locations: - Can be found in the warrior's soul cave behind a waterfall in Drywind Valley. ###  Crimson Desert Blackwing Mask Notes, Tips & Trivia - "
Vow_of_the_Dead_King,item,item,,FALSE,FALSE,"Vow of the Dead King [...] File missingCritical Rate Lv.4 Aeserion's Scale x1 Abyss Artifact x1 Error creating thumbnail: File missing34,564 ###  Crimson Desert Vow of the Dead King Notes, Tips & Tr"
Memories of Abundance,item,item,,FALSE,FALSE,Memories of Abundance ### Memories of Abundance        Key Item                           Cannot Sell                    A crystal formed from the layered memories of countless souls over the ages. 
Category:Footwear,item,uncertain,nav-only,TRUE,TRUE,Category:Footwear [...] Boots - Crimson Banquet Plate Boots - Crimson Warden's Leather Boots - Crudil Leather Boots - Cyllian Leather Boots ### D - Daine Leather Boots - Dark Marksman's Plate 
Hernandian_Signet,character,item,,TRUE,FALSE,"Hernandian Signet [...] at a Blacksmith.  Stats Materials Price +0 Attack: 2 Attack Speed: Lv.0 Movement Speed: Lv.0 Critical Rate: Lv.0  65 ###  Crimson Desert Hernandian Signet Notes, Tips & Tri"
Grasping_Moon,character,item,,TRUE,FALSE,Grasping Moon [...] Recent changes - Random page - Help about MediaWiki Home > Equipment > Weapons > Two-Handed Weapons > Grasping Moon ###  Grasping Moon Two-Handed Weapon Attack 13 Attack Spee
Bounty Notice: Bianca,character,quest,,TRUE,FALSE,"Bounty Notice: Bianca [...] the Notice to unlock the quest. You can find Bianca, the murderer, at the Church of Hernand. [Crimson Desert Map Link] ### Acquire the Bounty Notice   When you start Cha"
Drake_Shield,character,item,,TRUE,FALSE,"Drake Shield [...] File missingMovement Speed Lv.2 Aeserion's Scale x1 Abyss Artifact x1 Error creating thumbnail: File missing31,285 ###  Crimson Desert Drake Shield Notes, Tips & Trivia - Notes, "
A Fresh Start,character,quest,,TRUE,FALSE,A Fresh Start ### A Fresh Start          Region  Hernand  Quest Location  Howling Hill  Requirements  Finish First Step to Rebuilding  Unlocks  Reward for Their Sweat  Rewards  x5 Iron Ore Large Bag
Interactive Map,character,uncertain,"nav-only page with map interface, no specific subject content",TRUE,TRUE,"Interactive Map [...] quests, wares, and more. Check the map to find their exact location and also their page for their full details. ### Locations in Crimson Desert    Traverse through the various"
Pororin Forest,character,exploration,,TRUE,FALSE,"Pororin Forest ### Pororin Forest          A dense forest located to the east of Hernand. The heavy scent of blossoms and the sunlight filtering through the thick canopy create a warm, mystical atmo"
Spencer Pistol,character,item,,TRUE,FALSE,Spencer Pistol Stats  Materials  Price  +0  Attack: 11 Attack Speed: Lv.2   1  +1  Attack: 13 Attack Speed: Lv.2  Iron Ore x2  1  +2  Attack: 15 Attack Speed: Lv.2  Iron Ore x3  1  +3  Attack: 17 Att
Charles_Celeste,character,character,,FALSE,FALSE,"Charles Celeste [...] Charles Celeste can be found inside Hernand Castle during the quest News. [[[Interactive Map|Crimson Desert Map]]] ###  Charles Celeste Crimson Desert Notes, Tips & Trivia - N"
Brightening_the_Spirits,character,quest,,TRUE,FALSE,Brightening the Spirits this quest and receive Grey Dye and +100 Greymane Contribution EXP as a reward. You will also unlock the Chance to Make a Fortune faction quest. Faction QuestsA Promise Witho
Arboria Castle,character,exploration,,TRUE,FALSE,"Arboria Castle ### Arboria Castle          An abandoned castle located in the Arburis Forest. Once operated as a fertilizer plant to bolster agricultural production, the facility failed to yield sig"
Interactive Map,character,uncertain,"nav-only page with map interface, no specific subject content",TRUE,TRUE,"Interactive Map [...] quests, wares, and more. Check the map to find their exact location and also their page for their full details. ### Locations in Crimson Desert    Traverse through the various"
Balton_Large_Shield,character,item,,TRUE,FALSE,Balton Large Shield [...] Main page - Recent changes - Random page - Help about MediaWiki Home > Equipment > Shields > Balton Large Shield ###  Balton Large Shield Shield Defense 6  A mass-produ
Serge's Request,character,quest,,TRUE,FALSE,Serge's Request ### Serge's Request          Faction  Hernand Commissions  Quest Giver  Serge  Quest Location  Goldleaf Trading Post  Requirements  Read Serge's Poster  Unlocks  N/A  Notable NPCs  S
Staglord's_Shield,character,item,,TRUE,FALSE,"Staglord's Shield [...] Ore x6 Abyss Artifact x1 25,711 +10 Defense 13 Attack Speed Lv.2 Aeserion's Scale x1 Abyss Artifact x1 28,562 ###  Crimson Desert Staglord's Shield Notes, Tips & Trivia - N"
Artisan's_Ornamented_Shield,character,item,,TRUE,FALSE,"Artisan's Ornamented Shield [...] Timber x20 Abyss Artifact x1 29,272 +10 Defense 15 Movement Speed Lv.2 Aeserion's Scale x1 Abyss Artifact x1 32,123 ###  Crimson Desert Artisan's Ornamented Shield"
Trial After Trial,character,quest,,TRUE,FALSE,"Trial After Trial Lure them out to the road, as fighting in the camp itself may prove much more difficult due to the foliage, as well as their equipment all around.       After clearing out the ban"
Hernandian_Parish_of_Solumen,character,exploration,,TRUE,FALSE,Hernandian Parish of Solumen [...] Recent changes - Random page - Help about MediaWiki Home > World Information > Factions > Hernandian Parish of Solumen ###  Hernandian Parish of Solumen  The Her
Pollengarth Apiary,character,exploration,,TRUE,FALSE,"Pollengarth Apiary ### Pollengarth Apiary          An apiary built between a flower-rich meadow and a dense forest. Operated in an ideal location for gathering diverse pollen, it blends different ho"
Dragon's Fang,character,quest,,TRUE,FALSE,"Dragon's Fang Hector the Impaler is defeated, Dragon's Fang will be completed, and you will receive the Trophy - Spear Duel. All Challenges in Crimson Desert  A Bloom of High Stakes ♦ A Detailed Glan"
Diverging_Moon,character,item,,TRUE,FALSE,"Diverging Moon [...] Ore x9 Abyss Artifact x1 29,797 +10 Attack 35 Attack Speed Lv.3 Aeserion's Scale x1 Abyss Artifact x1 32,648 ###  Crimson Desert Diverging Moon Notes, Tips & Trivia - Notes, T"
Hornsplitter's Guards,character,mechanic,,TRUE,FALSE,"Hornsplitter's Guards solely of his most trusted elite, they handle all but his most crucial dealings, as Kailok personally oversees only the gravest transactions. They are prepared to pay any price "
Canta_Plate_Helm,character,item,,TRUE,FALSE,"Canta Plate Helm [...] Headgear Information - Buy Price: 2.82 - Note that prices may vary based on your reputation with certain Factions. ###  Crimson Desert Canta Plate Helm Notes, Tips & Trivia "
Faded Abyss Artifact,mechanic,item,,TRUE,FALSE,Faded Abyss Artifact How to Obtain / Where to Find: ### Where to Find Faded Abyss Artifact in Crimson Desert   Faded Abyss Artifact Gatherable can be found in the following locations:      - It can 
Turning Slash,mechanic,mechanic,,FALSE,FALSE,Turning Slash ### Turning Slash                  Costs 10 Spirit  Press R1 + R2 to perform a spinning overhead strike that sends enemies flying.         Enhancement Requirement  Abyss Artifact x1+  
Subcontent:Faction_Quests_5_Delesyia,mechanic,uncertain,nav-only,TRUE,TRUE,Subcontent:Faction Quests 5 Delesyia - World- World Information - Locations - Greymane Camp - Abyss Nexus - Interactive Map - Factions - Quests- Main Quests - Faction Quests - Challenges - Minigames
Lightning Pulse,mechanic,mechanic,,FALSE,FALSE,Lightning Pulse ### Lightning Pulse                  Costs 10 Spirit  Press R2 + 〇 to gather lightning in both hands and electrocute nearby enemies.         Acquisition Requirement  [Lightning Lv 1]
Dancing Blade Shining Shield I,mechanic,uncertain,"nav-only page with link list, no substantive content about the item itself",TRUE,TRUE,Dancing Blade Shining Shield I ♦ Crow's Nest (Challenge) ♦ Crystals in the Veins ♦ Desert Fragment (Challenge) ♦ Desperate Rescue ♦ Dragon's Fang ♦ Dragon's Stone Chamber Ruins ♦ Duskwood Hill Ruins 
Silver Trigger,quest,uncertain,nav-only,TRUE,TRUE,"Silver Trigger the challenge will be completed, and you will be rewarded with the Insight I Abyss Core, which has a modifier for Critical Hit Chance Lv 1. All Challenges in Crimson Desert  A Bloom of"
Sealed Abyss Artifacts,mechanic,exploration,,TRUE,FALSE,All Abyss Artifact Locations [...] Sealed Abyss Artifact. This place can also be reached by heading northeast of Pororin Village. [See Crimon Desert Map] ### Abyss Cresset of Meandering Hills      
Scissor_Takedown,mechanic,mechanic,,FALSE,FALSE,Scissor Takedown [...] Cost: N/A - Skill Effect: Hold △ while crouching to wrap your legs around an enemy and bring them to the ground. ###  Scissor Takedown Skill Notes & Tips for Crimson Desert 
Turning_Slash,mechanic,mechanic,,FALSE,FALSE,"Turning Slash [...] Cost: 10 Spirit - Skill Effect: Press R1 + R2 to perform a spinning overhead strike that sends enemies flying. ###  Turning Slash Skill Notes & Tips for Crimson Desert - Notes,"
Mystical Storage,mechanic,mechanic,,FALSE,FALSE,Mystical Storage ### Mystical Storage              Press △ while holding an object with the Axiom Force to seal it inside a kuku pot.         Acquisition Requirement  Mystical Storage is unlocked at
Turning Slash Expertise,mechanic,mechanic,,FALSE,FALSE,"Turning Slash Expertise or             Turning Slash Expertise can be observed from Saigord the Staglord during the House Serkis Faction Quest, King of the Fallen Kingdom.                Turning Slas"
New_Player_Help,mechanic,uncertain,nav-only guide page with mixed topics,TRUE,TRUE,"New Player Help [...] Damiane and Oongka. Each character will have their own combat style, storyline, as well as unique skills and weapons. ###  Fishing in Crimson Desert Fishing is one of the Life"
Return of the Greymane,mechanic,quest,,TRUE,FALSE,"Return of the Greymane [...] placed on a stone memorial by a cliff in Thornbriar Mountains, west of the Thornbriar Fortress. [Crimson Desert Map] ### Crimson Desert Return of the Greymane Quest Obje"
Interactive Map,mechanic,uncertain,"nav-only page with map tool, lacks substantive content",TRUE,TRUE,"Interactive Map [...] quests, wares, and more. Check the map to find their exact location and also their page for their full details. ### Locations in Crimson Desert    Traverse through the various"
Crow's Nest (Challenge),quest,exploration,,TRUE,FALSE,Crow's Nest (Challenge) ### Crow's Nest (Challenge)          Category  Exploration (Restoration)  Region  The Abyss  Location  Crow's Nest  Requirements  Progress through Toward the Nest until you r
Crafting_Guide,quest,mechanic,,TRUE,FALSE,"Crafting Guide [...] that players can obtain through defeating enemies and bosses, completing quests or through simple exploration. ###  Crafting and Upgrading in Crimson Desert The aspect of craft"
Silver Trigger,quest,uncertain,nav-only,TRUE,TRUE,"Silver Trigger the challenge will be completed, and you will be rewarded with the Insight I Abyss Core, which has a modifier for Critical Hit Chance Lv 1. All Challenges in Crimson Desert  A Bloom of"
Raspberry,quest,item,,TRUE,FALSE,"Raspberry [...] Hidden Trail Hearth: Can be found in a chest by the tent and the Grindstone. [[[Interactive Map|Crimson Desert Map]]] ###  Crimson Desert Raspberry Notes, Tips & Trivia - Notes, Tip"
Interactive Map,quest,uncertain,nav-only page with mixed content overview,TRUE,TRUE,Interactive Map ### Crimson Desert Interactive Map    The Crimson Desert Full Map is an interactive tracker and checklist for all things related to Crimson Desert. Follow alongside Kliff as he journ
Where_the_Light_Leads,quest,uncertain,nav-only,TRUE,TRUE,Where the Light Leads - World- World Information - Locations - Greymane Camp - Abyss Nexus - Interactive Map - Factions - Quests- Main Quests - Faction Quests - Challenges - Minigames - Mounts - NPC
Factions,quest,uncertain,nav-only page listing factions without substantive details,TRUE,TRUE,"Factions [...] Hernand have driven countless people into the streets, where wanderers and refugees have formed a fragile community. ###  Southern Bandits Bandits who threaten the southern reaches "
Bounty Notice: Alessio,quest,quest,,FALSE,FALSE,Bounty Notice: Alessio ### Bounty Notice: Alessio          Faction  House Celeste  Quest Giver  Bounty Notice  Quest Location  Greenfield Highlands  Requirements  Read the Bounty Notice - Alessio  U
Interactive Map,quest,uncertain,"nav-only page with interactive map tool, no specific subject content",TRUE,TRUE,"Interactive Map [...] quests, wares, and more. Check the map to find their exact location and also their page for their full details. ### Locations in Crimson Desert    Traverse through the various"
Spire of Clockwork (Challenge),quest,puzzle,,TRUE,FALSE,"Spire of Clockwork (Challenge) to find an Abyss Gate. Enter it to get to the Riddle Square in The Abyss, and the challenge will be completed. All Challenges in Crimson Desert  A Bloom of High Stakes "
The Crow's Warning,quest,quest,,FALSE,FALSE,The Crow's Warning ### The Crow's Warning          Region  Hernand  Quest Location  Muckroot Ranch  Requirements  Finish Crowcaller  Unlocks  Bloodwind  Rewards  N/A              The Crow's Warning 
Night of the Silent Banner Pike,quest,quest,,FALSE,FALSE,"Night of the Silent Banner Pike [...] Banner Pike Quest Notes, Tips & Trivia      - Notes, Tips & Trivia for Night of the Silent Banner Pike goes here. ### Crimson Desert Night of the Silent Banner"
Sanctum of Penitence (Quest),quest,quest,,FALSE,FALSE,Sanctum of Penitence (Quest) ### Sanctum of Penitence (Quest)          Faction  Antumbra Order  Quest Giver  Elowen  Quest Location  Sanctum of Penitence  Requirements  Meet Elowen the Witch  Unlock
Spider_Web,recipe,item,,TRUE,FALSE,"Spider Web [...] precise traps. If woven well, it can also be used as rope or bandages. It can be obtained near Arboria in Hernand. ###  Crimson Desert Spider Web Notes, Tips & Trivia - Notes, Tips"
Grilled_Meat,recipe,recipe,,FALSE,FALSE,"Grilled Meat [...] Desert Grilled Meat can be cooked at the Cooking Field Tool. It required the following Ingredientes - Tough Meat x1 ###  Crimson Desert Grilled Meat Notes, Tips & Trivia - Note"
Tranan's_Request,recipe,quest,,TRUE,FALSE,Tranan's Request [...] changes - Random page - Help about MediaWiki Home > World Information > Quests > Faction Quests > Tranan's Request ###  Tranan's Request  Faction Greymane Commission Quest G
Filling_Grilled_Fruit,recipe,recipe,,FALSE,FALSE,"Filling Grilled Fruit [...] Grilled Fruit can be cooked at the Cooking Field Tool. It required the following Ingredientes - Raspberry x3 ###  Crimson Desert Filling Grilled Fruit Notes, Tips & Triv"
Chewy Rice Cakes,recipe,recipe,,FALSE,FALSE,Chewy Rice Cakes ### Chewy Rice Cakes        Provisions         Health: +240.0 Spirit: +22.0 Fire Resistance Lv 4 (1 min)                 Sells for   23                    Rice cakes made by poundin
Milford,recipe,character,,TRUE,FALSE,Milford [...] Main page - Recent changes - Random page - Help about MediaWiki Home > World Information > NPCs > Vendors > Milford ###  Milford  Region Hernand Location Anvil Riverside Terrace Fact
Gabriel Caliburn,boss,boss,,FALSE,FALSE,Gabriel Caliburn ### Gabriel Caliburn          Location  Demeniss Castle              Gabriel Caliburn is a Boss in Crimson Desert. A once renowned duke because of his righteous acts to serve the pe
Trukan the Ascended,boss,boss,,FALSE,FALSE,"Trukan the Ascended [...] Drops & Rewards      - Wooden Mask of Lost Justice    - Wanderer of Faith Leather Gloves    - Trukan's Fighting Spirit ### Crimson Desert Trukan the Ascended Note, Tips & "
Church_of_Calphade,exploration,exploration,,FALSE,FALSE,"Church of Calphade [...] regions in Pywel. Players can discover various NPCs, obtain unique Items, and encounter ferocious Enemies and Bosses. ###  Crimson Desert Church of Calphade Location Notes, "
Vilkom Outpost,exploration,exploration,,FALSE,FALSE,"Vilkom Outpost ### Vilkom Outpost          An outpost located in the northern border of Hernand, serving as both a defensive post and a military training ground.              Vilkom Outpost is a Loc"
